,Video ID,Subject ID,Attention (Proprietary measure of mental focus),Mediation (Proprietary measure of calmness),Raw (Raw EEG signal),Delta (1-3 Hz of power spectrum),Theta (4-7 Hz of power spectrum),Alpha 1 (Lower 8-11 Hz of power spectrum),Alpha 2 (Higher 8-11 Hz of power spectrum),Beta 1 (Lower 12-29 Hz of power spectrum),Beta 2 (Higher 12-29 Hz of power spectrum),Gamma 1 (Lower 30-100 Hz of power spectrum),Gamma 2 (Higher 30-100 Hz of power spectrum),predefined label (whether the subject is expected to be confused),Error,Difference Between predicted and actual,user-defined label (whether the subject is actually confused),Confusion Label
54,5,4,0.584634146,0.699756098,0.505766501,0.062235301,0.029359649,0.015146879,0.017804294,0.013883128,0.009593718,0.004861743,0.005244444,1,1,1,0,Not Confused
55,5,5,0.468292683,0.556747967,0.507110595,0.210953856,0.107697936,0.062207867,0.055674489,0.038561396,0.018916985,0.008601427,0.003965127,1,0,0,1,Confused
56,5,6,0,0,0.596632816,0.170319224,0.057151683,0.03257157,0.066075276,0.04603488,0.06325763,0.055388135,0.03891237,1,1,1,0,Not Confused
57,5,7,0.285853659,0.54203252,0.508726684,0.221372537,0.065762371,0.036503561,0.030402058,0.02092316,0.016371824,0.012587803,0.012281883,1,0,0,1,Confused
58,5,8,0.333089431,0.460650407,0.507118536,0.269194318,0.089899386,0.06127862,0.059546913,0.034019537,0.019278137,0.00876219,0.006952243,1,0,0,1,Confused
59,5,9,0.498130081,0.410487805,0.509598261,0.235799786,0.093913133,0.051458765,0.040080595,0.026802021,0.025192837,0.027411061,0.016804373,1,0,0,1,Confused
60,6,0,0.335862069,0.443103448,0.510921645,0.197931899,0.070764659,0.025839573,0.023918734,0.018714447,0.018813049,0.015294367,0.010655114,1,0,0,1,Confused
61,6,1,0.464274194,0.637580645,0.507849856,0.081356129,0.0309563,0.01809945,0.01626507,0.013985269,0.00614902,0.002230875,0.002212857,1,1,1,0,Not Confused
62,6,2,0.556896552,0.557327586,0.50802282,0.004208428,0.003991034,0.004130723,0.006239111,0.005490381,0.003806891,0.001369421,0.001752255,1,1,1,0,Not Confused
63,6,3,0.445840708,0.481150442,0.509563789,0.22898226,0.093650499,0.037985942,0.038298702,0.023766806,0.012777955,0.005645801,0.004822453,1,0,0,1,Confused
64,6,4,0.384677419,0.456693548,0.513283312,0.086028375,0.030037679,0.013952504,0.016115788,0.013030306,0.007476737,0.003974862,0.004815876,1,0,0,1,Confused
65,6,5,0.435086207,0.599655172,0.508669109,0.241555157,0.119081994,0.074355332,0.06386102,0.039699811,0.021139477,0.010662348,0.005803442,1,0,0,1,Confused
66,6,6,0,0,0.602313587,0.200166522,0.08213545,0.031370797,0.073778318,0.058016816,0.096736389,0.074447038,0.049461055,1,0,0,1,Confused
67,6,7,0.608793103,0.616293103,0.510285883,0.104951265,0.027136171,0.015291143,0.016286679,0.01563945,0.015324649,0.008350169,0.009431829,1,1,1,0,Not Confused
68,6,8,0.477580645,0.462419355,0.509021624,0.211909117,0.071731791,0.030075779,0.027822526,0.018463439,0.011669815,0.006282489,0.00674145,1,1,1,0,Not Confused
69,6,9,0.296206897,0.532931034,0.50416193,0.196789428,0.064236596,0.054474226,0.043330912,0.02230191,0.015757422,0.008758371,0.002857764,1,1,1,0,Not Confused
70,7,0,0.48,0.502410714,0.507025118,0.120463196,0.037944293,0.018778538,0.01596952,0.014306034,0.022969718,0.018418422,0.010174392,1,1,1,0,Not Confused
71,7,1,0.524590164,0.605655738,0.505666647,0.102262505,0.037331017,0.019997377,0.020923974,0.019903622,0.00772355,0.004290421,0.00381236,1,1,1,0,Not Confused
72,7,2,0.431858407,0.616371681,0.508563217,0.02597546,0.007710222,0.007085024,0.008864117,0.009460214,0.006308564,0.003152382,0.003896972,1,0,0,1,Confused
73,7,3,0.465725806,0.45,0.505126236,0.21258515,0.078274483,0.038520747,0.024954732,0.021728761,0.009983232,0.004785216,0.004358894,1,0,0,1,Confused
74,7,4,0.365491803,0.49295082,0.50485398,0.112459573,0.041389496,0.019878964,0.023550226,0.019644887,0.010388908,0.007754573,0.00791757,1,0,0,1,Confused
75,7,5,0.498672566,0.521504425,0.507562644,0.160685122,0.05069779,0.027246352,0.031432516,0.013206322,0.012491384,0.00626976,0.001866927,1,1,1,0,Not Confused
76,7,6,0,0,0.640673388,0.190584378,0.057402627,0.041162616,0.065022128,0.051772632,0.036164641,0.027003487,0.03635992,1,1,1,0,Not Confused
77,7,7,0.393064516,0.428145161,0.510433652,0.133398117,0.040850335,0.019628534,0.021099334,0.020077097,0.022070294,0.012452215,0.013135563,1,0,0,1,Confused
78,7,8,0.509344262,0.48352459,0.510904942,0.19841389,0.067676238,0.025111152,0.025826841,0.019218952,0.011589078,0.007526711,0.006645928,1,1,1,0,Not Confused
79,7,9,0.276339286,0.483660714,0.505612245,0.184815551,0.045701826,0.027500494,0.028093491,0.013835579,0.012098837,0.009251316,0.001999783,1,1,1,0,Not Confused
80,8,0,0.555483871,0.528790323,0.507341762,0.230554463,0.066131405,0.030860777,0.025496022,0.01903324,0.022348475,0.023028377,0.013020349,1,0,0,1,Confused
81,8,1,0.518854962,0.61778626,0.508402539,0.090328727,0.029522212,0.017884505,0.019043265,0.016564894,0.006645405,0.002649609,0.003391923,1,1,1,0,Not Confused
82,8,2,0.528549618,0.585419847,0.50923021,0.007720354,0.006346881,0.004651455,0.006177216,0.005850004,0.003930282,0.00164798,0.001948669,1,0,0,1,Confused
83,8,3,0.508778626,0.592900763,0.508831287,0.195758701,0.060547789,0.029659066,0.025622935,0.018978782,0.00908083,0.004414424,0.00462766,1,0,0,1,Confused
84,8,4,0.366335878,0.507099237,0.509802496,0.091409157,0.036576052,0.018175711,0.021171188,0.016395984,0.009916421,0.005253567,0.005828421,1,0,0,1,Confused
85,8,5,0.430241935,0.508306452,0.506772618,0.220100876,0.087527227,0.041438289,0.033704689,0.03041939,0.012969275,0.005600337,0.003426331,1,0,0,1,Confused
86,8,6,0,0,0.604387598,0.221639891,0.080259241,0.061053255,0.092196311,0.060165827,0.050719762,0.028373595,0.042122045,1,0,0,1,Confused
87,8,7,0.483129771,0.420687023,0.50848456,0.133253674,0.036633422,0.01729267,0.016581746,0.015881187,0.019726215,0.011873308,0.012693121,1,1,1,0,Not Confused
88,8,8,0.369389313,0.478854962,0.50685718,0.244747013,0.099082629,0.062480474,0.070817324,0.03509706,0.027774777,0.017179554,0.012440616,1,0,0,1,Confused
89,8,9,0.555483871,0.528790323,0.507341762,0.230554463,0.066131405,0.030860777,0.025496022,0.01903324,0.022348475,0.023028377,0.013020349,1,0,0,1,Confused
90,9,0,0.499344262,0.472704918,0.509227567,0.151808465,0.043472688,0.019311157,0.020271806,0.01884428,0.017770528,0.014285941,0.008671653,1,1,1,0,Not Confused
91,9,1,0.48350365,0.623284672,0.506560431,0.080609477,0.029244138,0.018701254,0.021608111,0.020876941,0.006150821,0.002589734,0.00251518,1,1,1,0,Not Confused
92,9,2,0.421751825,0.650510949,0.508291222,0.007479,0.00582545,0.005339748,0.007156409,0.00572531,0.003471726,0.001265344,0.001543761,1,1,1,0,Not Confused
93,9,3,0.257956204,0.491167883,0.510977425,0.228695356,0.111805619,0.071738329,0.061057407,0.036964368,0.018901381,0.00856998,0.005027295,1,0,0,1,Confused
94,9,4,0.430076336,0.551679389,0.511606968,0.066322504,0.027836038,0.019324299,0.013753671,0.009926206,0.006082325,0.003108072,0.003901693,1,1,1,0,Not Confused
95,9,5,0.470737705,0.567704918,0.510078264,0.1261194,0.054814257,0.028804219,0.028668176,0.014729319,0.013031255,0.006539658,0.001660831,1,1,1,0,Not Confused
96,9,6,0,0,0.573594289,0.207420804,0.069462516,0.049134223,0.076083584,0.048617059,0.044121676,0.031046553,0.036988327,1,1,1,0,Not Confused
97,9,7,0.536525424,0.541949153,0.508940212,0.068457779,0.025444548,0.014356122,0.015467014,0.018932923,0.01912791,0.012072208,0.012314181,1,1,1,0,Not Confused
98,9,8,0.296016949,0.396610169,0.510573043,0.250939328,0.111776043,0.056333109,0.053393861,0.038171153,0.018544253,0.00752687,0.006184379,1,0,0,1,Confused
99,9,9,0.452622951,0.46557377,0.506509338,0.220204573,0.054020377,0.031036975,0.037228309,0.014368702,0.034326673,0.011285088,0.002220824,1,1,1,0,Not Confused
